Year,LGA,index,Count,Median House Price
2018,Wyndham,24474,79,1143
2018,Yarra,24478,2412,1610
2018,Yarra Ranges,24482,109,1020
2018,Yarriambiack,24486,7,240
2019,Alpine,25438,0,0
2019,Ararat,25442,10,710
2019,Ballarat,25446,216,749
2019,Banyule,25450,469,1320
2019,Bass Coast,25454,0,0
2019,Baw Baw,25458,0,0
2019,Bayside,25462,282,1510
2019,Benalla,25466,22,726
2019,Boroondara,25470,1816,1391
2019,Brimbank,25474,281,1000
2019,Buloke,25478,0,0
2019,Campaspe,25482,37,633
2019,Cardinia,25486,8,726
2019,Casey,25490,97,1078
2019,Central Goldfields,25494,0,0
2019,Colac-Otway,25498,25,844
2019,Corangamite,25502,8,936
2019,Darebin,25506,1250,1290
2019,East Gippsland,25510,60,780
2019,Frankston,25514,369,1003
2019,Gannawarra,25518,0,0
2019,Glen Eira,25522,1972,1285
2019,Glenelg,25526,20,771
2019,Golden Plains,25530,0,0
2019,Greater Bendigo,25534,130,754
2019,Greater Dandenong,25538,558,1030
2019,Greater Geelong,25542,563,933
2019,Greater Shepparton,25546,152,745
2019,Hepburn,25550,0,0
2019,Hindmarsh,25554,0,0
2019,Hobsons Bay,25558,182,1220
2019,Horsham,25562,47,830
2019,Hume,25566,93,1068
2019,Indigo,25570,0,0
2019,Kingston,25574,497,1245
2019,Knox,25578,109,1285
2019,Latrobe,25582,244,658
2019,Loddon,25586,0,0
2019,Macedon Ranges,25590,14,884
2019,Manningham,25594,228,1505
2019,Mansfield,25598,0,0
2019,Maribyrnong,25602,1070,1216
2019,Maroondah,25606,110,1316
2019,Melbourne,25610,12162,1700
2019,Melton,25614,36,1279
2019,Mildura,25618,121,716
2019,Mitchell,25622,0,0
2019,Moira,25626,63,533
2019,Monash,25630,600,1285
2019,Moonee Valley,25634,1135,1363
2019,Moorabool,25638,20,968
2019,Moreland,25642,1620,1390
2019,Mornington Penin'a,25646,39,1085
2019,Mount Alexander,25650,0,0
2019,Moyne,25654,0,0
2019,Murrindindi,25658,0,0
2019,Nillumbik,25662,23,1228
2019,Northern Grampians,25666,0,0
2019,Port Phillip,25670,2869,1508
2019,Pyrenees,25674,0,0
2019,Queenscliffe,25678,0,0
2019,South Gippsland,25682,15,743
2019,Southern Grampians,25686,24,668
2019,Stonnington,25690,3818,1540
2019,Strathbogie,25694,22,820
2019,Surf Coast,25698,0,0
2019,Swan Hill,25702,59,618
2019,Towong,25706,0,0
2019,Wangaratta,25710,71,775
2019,Warrnambool,25714,64,835
2019,Wellington,25718,98,735
2019,West Wimmera,25722,0,0
2019,Whitehorse,25726,1089,1308
2019,Whittlesea,25730,102,1210
2019,Wodonga,25734,46,728
2019,Wyndham,25738,83,1171
2019,Yarra,25742,2481,1625
2019,Yarra Ranges,25746,101,1068
2019,Yarriambiack,25750,11,490
2020,Alpine,19908,0,0
2020,Ararat,19911,5,340
2020,Ballarat,19914,161,583
2020,Banyule,19917,347,1020
2020,Bass Coast,19920,0,0
2020,Baw Baw,19923,0,0
2020,Bayside,19926,175,1135
2020,Benalla,19929,21,554
2020,Boroondara,19932,1267,1025
2020,Brimbank,19935,159,763
2020,Buloke,19938,0,0
2020,Campaspe,19941,34,490
2020,Cardinia,19944,11,573
2020,Casey,19947,86,836
2020,Central Goldfields,19950,0,0
2020,Colac-Otway,19953,26,703
2020,Corangamite,19956,4,405
2020,Darebin,19959,840,970
2020,East Gippsland,19962,40,630
2020,Frankston,19965,341,743
2020,Gannawarra,19968,0,0
2020,Glen Eira,19971,1465,938
2020,Glenelg,19974,19,545
2020,Golden Plains,19977,0,0
2020,Greater Bendigo,19980,76,589
2020,Greater Dandenong,19983,405,780
2020,Greater Geelong,19986,432,760
2020,Greater Shepparton,19989,87,568
2020,Hepburn,19992,0,0
2020,Hindmarsh,19995,0,0
2020,Hobsons Bay,19998,131,901
2020,Horsham,20001,39,730
2020,Hume,20004,79,835
2020,Indigo,20007,0,0
2020,Kingston,20010,317,940
2020,Knox,20013,106,1018
2020,Latrobe,20016,142,515
2020,Loddon,20019,0,0
2020,Macedon Ranges,20022,14,718
2020,Manningham,20025,147,1083
2020,Mansfield,20028,0,0
2020,Maribyrnong,20031,705,880
2020,Maroondah,20034,73,960
2020,Melbourne,20037,10746,1139
2020,Melton,20040,19,1037
2020,Mildura,20043,64,620
2020,Mitchell,20046,0,0
2020,Moira,20049,32,435
2020,Monash,20052,637,980
2020,Moonee Valley,20055,813,1016
2020,Moorabool,20058,16,715
2020,Moreland,20061,1255,1060
2020,Mornington Penin'a,20064,40,785
2020,Mount Alexander,20067,0,0
2020,Moyne,20070,0,0
2020,Murrindindi,20073,0,0
2020,Nillumbik,20076,23,948
2020,Northern Grampians,20079,0,0
2020,Port Phillip,20082,2156,1093
2020,Pyrenees,20085,0,0
2020,Queenscliffe,20088,0,0
2020,South Gippsland,20091,11,576
2020,Southern Grampians,20094,12,475
2020,Stonnington,20097,2861,1060
2020,Strathbogie,20100,2,500
2020,Surf Coast,20103,0,0
2020,Swan Hill,20106,30,485
2020,Towong,20109,0,0
2020,Wangaratta,20112,41,565
2020,Warrnambool,20115,48,690
2020,Wellington,20118,51,590
2020,West Wimmera,20121,0,0
2020,Whitehorse,20124,941,917
2020,Whittlesea,20127,62,910
2020,Wodonga,20130,40,565
2020,Wyndham,20133,53,870
2020,Yarra,20136,1727,1160
2020,Yarra Ranges,20139,55,800
2020,Yarriambiack,20142,4,375
